Word//word combination,Sentiment scores,,,,,,,,Average sentiment score,Notes
,,,,,,,,,,
абат,1,1,1,0,,,,0,"0,60",
абатство,1,1,1,0,,,,0,"0,60",
абетка,0,1,1,0,,,,1,"0,60",
абзац,0,1,0,0,0,0,0,1,"0,25",
абітурієнт,2,2,0,2,,,,1,"1,40",
абонемент ,2,1,1,0,,,,1,"1,00",
абонент ,1,1,1,0,,,,1,"0,80",
абориген ,0,0,0,0,,,,-1,"-0,20",
аборт,-2,-2,-2,-1,,,,-2,"-1,80",
абортний,-2,-2,-2,-2,,,,-2,"-2,00",
абревіатура,1,1,0,0,,,,0,"0,40",
абревіація,1,1,0,0,,,,0,"0,40",
абрикос,1,1,1,1,,,,2,"1,20",
абрикосовий,0,1,0,1,,,,0,"0,40",
абсолютний,1,0,0,0,1,1,0,1,"0,50",
абсолютно,1,1,1,0,1,0,0,1,"0,63",
абсорбувати ,0,0,0,0,,,,1,"0,20",
абстрагувати,0,1,0,0,,,,1,"0,40",
абстрактний,1,1,1,0,1,0,0,1,"0,63",
абстракція,1,1,1,0,,,,1,"0,80",
абсурд,-2,-2,-1,1,0,0,-1,-2,"-0,88",
абсурдний,-2,-1,-2,-1,1,0,0,-2,"-0,88",
абсурдність,-1,1,0,0,,,,-1,"-0,20",
Абу-Дабі,0,2,1,2,,,,1,"1,20",
Абуджа,0,0,0,0,0,0,0,1,"0,13",власна вставка
авангардизм,0,1,2,0,,,,1,"0,80",
аванпост,0,0,0,0,,,,1,"0,20",
аварійний,0,0,0,0,,,,-2,"-0,40",
аварійник ,0,1,0,0,,,,1,"0,40",
аварійність,-1,-1,-1,0,,,,-2,"-1,00",
аварія,-2,-2,-2,-2,-2,-2,-2,-2,"-2,00",
авдиторія,-1,1,1,1,,,,1,"0,60",
авіабаза,0,1,0,0,,,,1,"0,40",
авіакатастрофа,-2,-2,-2,-2,,,,-2,"-2,00",
авіаквиток,2,2,1,0,,,,0,"1,00",
авіакомпанія,0,0,2,2,1,0,1,0,"0,75",
авіаконструктор ,0,1,1,1,,,,0,"0,60",
авіалінія,0,2,1,0,,,,1,"0,80",
авіаперевезення,1,2,1,0,,,,1,"1,00",
авіапереліт,0,0,0,0,,,,1,"0,20",
авіапромисловість ,1,2,1,1,,,,1,"1,20",
авіарейс,1,2,1,0,,,,1,"1,00",
авіасполучення,0,0,1,1,1,0,0,1,"0,50",
авіатехніка,1,1,1,0,,,,1,"0,80",
авіатроща,-2,-2,-2,-2,,,,-2,"-2,00",
авіаційний,1,1,1,0,,,,1,"0,80",
авіація,0,0,0,1,,,,1,"0,40",
АВМ,0,0,0,1,,,,1,"0,40",
авокадо,0,2,1,0,,,,1,"0,80",
Авраам Лінкольн,2,1,1,1,2,1,1,0,"1,13",
австралієць,0,0,2,1,1,0,0,1,"0,63",власна вставка
австралійський,0,0,0,0,1,1,1,1,"0,50",
австралійці,0,0,2,1,1,0,0,1,"0,63",власна вставка
Австралія,0,1,1,0,,,,1,"0,60",
австрієць,0,0,-1,2,,,,0,"0,20",
австрійський,0,1,1,0,,,,1,"0,60",
австрійці,0,0,1,2,0,0,0,1,"0,50",власна вставка
Австрія,1,2,1,0,,,,1,"1,00",
автентичний,0,0,0,1,,,,2,"0,60",
автентичність,1,2,0,0,,,,1,"0,80",
автівка,0,0,-1,0,0,0,2,1,"0,25",
авто,1,0,2,1,1,1,1,2,"1,13",
автоаварія,-2,-2,-2,-2,,,,-2,"-2,00",
