абат,1,1,1,0,,,,0,"0,60",ч,N,"""+",,,,,,,,,,,,,,
абатство,1,1,1,0,,,,0,"0,60",ч,N,"""+",,,,,,,,,,,,,,
абетка,0,1,1,0,,,,1,"0,60",ч,N,"""+",,,,,,,,,,,,,,
абзац,0,1,0,0,0,0,0,1,"0,25",п,N,"""+",,,,,,,,,,,,,,
абітурієнт,2,2,0,2,,,,1,"1,40",ч,N,"""+",,,,,,,,,,,,,,
абонемент ,2,1,1,0,,,,1,"1,00",ч,N,"""+",,,,,,,,,,,,,,
абонент ,1,1,1,0,,,,1,"0,80",ч,N,"""+",,,,,,,,,,,,,,
абориген ,0,0,0,0,,,,-1,"-0,20",ч,N,"""+",,,,,,,,,,,,,,
аборт,-2,-2,-2,-1,,,,-2,"-1,80",ч,N,"""+",,,,,,,,,,,,,,
абортний,-2,-2,-2,-2,,,,-2,"-2,00",ч,Adj,,,,,,,,,,,,,,,
абревіатура,1,1,0,0,,,,0,"0,40",ч,N,"""+",,,,,,,,,,,,,,
абревіація,1,1,0,0,,,,0,"0,40",ч,N,,,"""+",,,,,,,,,,,,
абрикос,1,1,1,1,,,,2,"1,20",ч,N,"""+",,,,,,,,,,,,,,
абрикосовий,0,1,0,1,,,,0,"0,40",ч,Adj,,,,,,,,,,,,,,,
абсолютний,1,0,0,0,1,1,0,1,"0,50",п,Adj,,,,,,,,,,,,,,,
абсолютно,1,1,1,0,1,0,0,1,"0,63",п,Adv,,,,,,,,,,,,,,,
абсорбувати ,0,0,0,0,,,,1,"0,20",ч,V,,,,,,,,,,,,,,,
абстрагувати,0,1,0,0,,,,1,"0,40",ч,V,,,,,,,,,,,,,,,
абстрактний,1,1,1,0,1,0,0,1,"0,63",п,Adj,,,,,,,,,,,,,,,
абстракція,1,1,1,0,,,,1,"0,80",ч,N,"""+",,,,,,,,,,,,,,
абсурд,-2,-2,-1,1,0,0,-1,-2,"-0,88",п,N,"""+",,,,,,,,,,,,,,
абсурдний,-2,-1,-2,-1,1,0,0,-2,"-0,88",п,Adj,,,,,,,,,,,,,,,
абсурдність,-1,1,0,0,,,,-1,"-0,20",ч,N,,,"""+",,,,,,,,,,,,
Абу-Дабі,0,2,1,2,,,,1,"1,20",ч,N,,"""+",,,,,,,,,,,,,
Абуджа,0,0,0,0,0,0,0,1,"0,13",п,N,,,"""+",,,,,,,,,,,,власна вставка
авангардизм,0,1,2,0,,,,1,"0,80",ч,N,,,"""+",,,,,,,,,,,,
